"group_id"	"type"	"items_in_group"	"lo_value"	"p"	"FDR"	"goodsgrna"	"rank"	"log2FoldChange"
"TXNL4B"	"x"	6	0.15259	0.25096	0.99903	1	359	0.235
"DES"	"x"	6	0.15295	0.25132	0.99903	2	360	-0.064
"nc_chr21_5"	"n"	1	0.15367	0.15411	0.997101	1	361	-0.293
"TOP2A"	"x"	6	0.15373	0.25227	0.99903	2	362	0.0355
"CENPE"	"x"	6	0.15425	0.25282	0.99903	2	363	-0.32015
"HMGN2"	"x"	6	0.15451	0.25316	0.99903	2	364	-0.35
"RFK"	"x"	6	0.15576	0.25454	0.99903	1	365	-0.199
"IL7R"	"x"	5	0.15621	0.2447	0.99903	2	366	-0.129
"DYNLL1"	"x"	6	0.15661	0.2556	0.99903	2	367	-0.1992
"RPL36"	"p"	5	0.15675	0.24539	0.99903	1	368	-0.377
"nc_chr6_7"	"n"	1	0.15719	0.15743	0.997101	1	369	-0.125
"USP1"	"x"	6	0.15828	0.25739	0.99903	1	370	-0.10475
"RALA"	"x"	5	0.15886	0.24814	0.99903	1	371	-0.0441
"nc_chr17_5"	"n"	1	0.15889	0.15928	0.99903	1	372	-0.155
"STK11"	"x"	6	0.15954	0.25892	0.99903	2	373	0.07
"nc_chr4_1"	"n"	1	0.15986	0.16018	0.99903	1	374	-0.276
"CYLD"	"x"	6	0.1608	0.26048	0.99903	2	375	-0.192
"STK39"	"x"	5	0.16107	0.25092	0.99903	2	376	-0.274
"NR4A1"	"x"	6	0.16143	0.26131	0.99903	2	377	0.08745
"nc_chr2_6"	"n"	1	0.16422	0.16434	0.99903	1	378	-0.34
"PPP1R12B"	"x"	6	0.16506	0.26554	0.99903	2	379	-0.3215
"nc_chr2_1"	"n"	1	0.16507	0.16518	0.99903	1	380	-0.159
"SEPHS2"	"x"	6	0.16519	0.26576	0.99903	1	381	-0.21215
"EPS15"	"x"	6	0.16586	0.26653	0.99903	2	382	-0.06875
"FASN"	"x"	6	0.16644	0.26722	0.99903	1	383	0.3275
"BIRC5"	"x"	6	0.16666	0.2676	0.99903	2	384	-0.2205
"LIMK1"	"x"	6	0.16692	0.26798	0.99903	2	385	-0.0115
"PARP3"	"x"	6	0.16933	0.27077	0.99903	2	386	0.1043
"NCK1"	"x"	6	0.1696	0.27112	0.99903	2	387	-0.3295
"PCSK1N"	"x"	6	0.17174	0.27362	0.99903	2	388	-0.2088
"KLF5"	"x"	6	0.17228	0.27419	0.99903	2	389	0.2041
"MASTL"	"x"	6	0.17309	0.27511	0.99903	2	390	-0.1862275
"RFC5"	"x"	6	0.17443	0.27668	0.99903	2	391	-0.04905
"FZD9"	"x"	6	0.17551	0.278	0.99903	2	392	0.301
"CCR2"	"x"	6	0.17605	0.2786	0.99903	2	393	-0.058595
"ID2"	"x"	6	0.17632	0.27897	0.99903	2	394	-0.0115
"DDB2"	"x"	6	0.17713	0.28	0.99903	2	395	-0.1118
"ERCC2"	"x"	6	0.17763	0.28055	0.99903	2	396	0.00830000000000179
"MYOD1"	"x"	6	0.17886	0.28198	0.99903	1	397	0.49
"EPM2A"	"x"	6	0.1801	0.28356	0.99903	1	398	0.07765
"HBB"	"x"	6	0.18066	0.28422	0.99903	2	399	-0.11795
"PPP1R3A"	"x"	5	0.1808	0.27701	0.99903	1	400	0.0502
"MCM6"	"x"	6	0.18121	0.28487	0.99903	2	401	-0.174
"nc_chr13_11"	"n"	1	0.18168	0.1812	0.99903	0	402	-0.258
"PPP2R5C"	"x"	6	0.18202	0.28573	0.99903	2	403	-0.003
"ILF3"	"x"	6	0.1823	0.28609	0.99903	2	404	-0.1545
"PIAS3"	"x"	6	0.18257	0.2864	0.99903	2	405	-0.069415
"nc_chr1_6"	"n"	1	0.18301	0.1825	0.99903	0	406	-0.269
"FLT1"	"x"	6	0.18339	0.28726	0.99903	2	407	-0.1054
"nc_chr9_3"	"n"	1	0.18435	0.18368	0.99903	0	408	-0.196
"TTC3"	"x"	6	0.1844	0.28845	0.99903	1	409	0.0565
"SRPK2"	"x"	6	0.18686	0.29164	0.99903	1	410	-0.11675
"nc_chr2_7"	"n"	1	0.18726	0.1867	0.99903	0	411	-0.307
"RCAN1"	"x"	6	0.18808	0.29298	0.99903	1	412	-0.216
"CDK5R1"	"x"	6	0.18991	0.29516	0.99903	1	413	-0.191
"KNL1"	"x"	5	0.1916	0.29139	0.99903	1	414	-0.126
"SMAD5"	"x"	6	0.19174	0.29741	0.99903	1	415	-0.1175
"IL1R1"	"x"	5	0.1934	0.29394	0.99903	2	416	-0.135
"CFL2"	"x"	6	0.19478	0.30104	0.99903	1	417	-0.136
"GAK"	"x"	6	0.19494	0.30117	0.99903	2	418	-0.1408
"NEB"	"x"	6	0.196	0.30233	0.99903	1	419	-0.0482
"KLRG2"	"x"	6	0.19604	0.30242	0.99903	2	420	-0.1694
"IL4R"	"x"	6	0.19632	0.30276	0.99903	2	421	0.012
"NDC1"	"x"	6	0.1966	0.30305	0.99903	1	422	0.1325
"HSP90AB1"	"x"	6	0.19688	0.30343	0.99903	2	423	-0.2485
"TCF7"	"x"	6	0.19715	0.3038	0.99903	2	424	-0.277
"MAST2"	"x"	6	0.19721	0.30386	0.99903	1	425	0.238
"ITGAV"	"x"	6	0.19781	0.30456	0.99903	1	426	0.1015
"IL6ST"	"x"	6	0.19842	0.30525	0.99903	1	427	0.0071
"nc_chr15_5"	"n"	1	0.1995	0.19885	0.99903	0	428	-0.161
"NUP133"	"p"	6	0.19963	0.3067	0.99903	1	429	-0.08165
"nc_chr10_9"	"n"	1	0.20096	0.20044	0.99903	0	430	-0.0971
"TYK2"	"x"	6	0.20144	0.30908	0.99903	1	431	0.6485
"GRAP2"	"x"	6	0.20216	0.31009	0.99903	2	432	-0.021
"CIITA"	"x"	6	0.20265	0.31072	0.99903	1	433	-0.106
"THEM4"	"x"	6	0.203	0.31117	0.99903	2	434	-0.1457
"JAK2"	"x"	6	0.20325	0.31148	0.99903	1	435	-0.0661
"PRKCA"	"x"	6	0.20445	0.3131	0.99903	1	436	-0.03525
"ERCC5"	"x"	6	0.20468	0.31334	0.99903	2	437	-0.275
"GPI"	"x"	6	0.20685	0.3159	0.99903	1	438	0.0851
"PTPRF"	"x"	6	0.20745	0.31657	0.99903	2	439	-0.10655
"SMUG1"	"x"	6	0.20776	0.31705	0.99903	2	440	-0.1119
"nc_chrX_10"	"n"	1	0.20787	0.20749	0.99903	0	441	-0.213
"IKBKB"	"x"	6	0.20805	0.31741	0.99903	1	442	0.15745
"ILK"	"x"	6	0.20832	0.3178	0.99903	2	443	-0.11815
"IRF3"	"x"	6	0.20861	0.3182	0.99903	2	444	-0.2607
"NEIL2"	"x"	6	0.21001	0.32016	0.99903	2	445	-0.0753
"NTRK1"	"x"	6	0.21044	0.3207	0.99903	2	446	-0.1928
"UNC50"	"x"	6	0.21114	0.32148	0.99903	2	447	0.04395
"PSMB3"	"p"	6	0.21164	0.32219	0.99903	1	448	-0.00895
"ADAR"	"x"	6	0.21311	0.32395	0.99903	2	449	-0.1358
"TGFA"	"x"	6	0.21462	0.32576	0.99903	1	450	-0.07275
"RPL5"	"p"	6	0.21565	0.327	0.99903	2	451	-0.00900000000000001
"nc_chr18_7"	"n"	1	0.21575	0.21522	0.99903	0	452	-0.429
"nc_chr8_1"	"n"	1	0.21623	0.21564	0.99903	0	453	-0.16
"MYL12B"	"x"	6	0.21735	0.3289	0.99903	2	454	-0.1265
"TAOK2"	"x"	6	0.21849	0.33029	0.99903	2	455	-0.15
"MAP2K2"	"x"	6	0.21934	0.33128	0.99903	2	456	-0.19725
"RAD23B"	"x"	6	0.2199	0.33198	0.99903	2	457	-0.185
"HSPA14"	"x"	6	0.22019	0.33234	0.99903	2	458	0.072001355
"PTPRR"	"x"	6	0.22055	0.3327	0.99903	1	459	0.0164
"FLT3"	"x"	6	0.22218	0.33445	0.99903	2	460	-0.14467
"HBP1"	"x"	6	0.22246	0.33476	0.99903	2	461	-0.1783
"YAP1"	"x"	6	0.22409	0.33671	0.99903	1	462	0.0936
"IKZF1"	"x"	6	0.22446	0.3372	0.99903	2	463	-0.11785
"nc_chr7_5"	"n"	1	0.22593	0.22553	0.99903	0	464	-0.151
"nc_chr1_7"	"n"	1	0.2263	0.22593	0.99903	0	465	-0.242
"TUBA1C"	"x"	6	0.22703	0.34045	0.99903	1	466	0.0067
"STAG1"	"x"	6	0.2276	0.34112	0.99903	2	467	-0.0762
"MED24"	"x"	6	0.22761	0.34114	0.99903	1	468	-0.27
"SKI"	"x"	5	0.22923	0.32444	0.99903	1	469	-0.0434
"SH2B1"	"x"	6	0.22937	0.34308	0.99903	2	470	-0.044
"MXD1"	"x"	6	0.23054	0.34449	0.99903	1	471	0.1238
"FOXO1"	"x"	6	0.23103	0.34505	0.99903	2	472	0.2155
"CTNND1"	"x"	6	0.23112	0.34516	0.99903	1	473	-0.0783
"nc_chrX_3"	"n"	1	0.23163	0.23151	0.99903	0	474	-0.124
"PRKCD"	"x"	5	0.23168	0.32591	0.99903	1	475	-0.164
"CRMP1"	"x"	6	0.23171	0.34588	0.99903	1	476	0.10255
"CDK3"	"x"	6	0.23246	0.34683	0.99903	2	477	-0.188
"nc_chr11_2"	"n"	1	0.23381	0.23374	0.99903	0	478	-0.111
"WDR83"	"x"	6	0.23404	0.34863	0.99903	1	479	-0.0417
"ACP1"	"x"	6	0.23447	0.34922	0.99903	2	480	-0.0729
"SMAD4"	"x"	6	0.23462	0.34939	0.99903	1	481	-0.0337
"RPS8"	"p"	6	0.23521	0.35	0.99903	1	482	0.15285
"BMP7"	"x"	6	0.23562	0.35045	0.99903	2	483	-0.0706
"ADAM17"	"x"	6	0.23591	0.35072	0.99903	2	484	-0.06325
"ORC1"	"x"	6	0.23648	0.3514	0.99903	2	485	-0.2925
"nc_chr8_10"	"n"	1	0.23672	0.23664	0.99903	0	486	-0.32
"nc_chr17_9"	"n"	1	0.23733	0.23713	0.99903	0	487	-0.167
"CD19"	"x"	6	0.23811	0.35334	0.99903	1	488	0.15125
"IER3"	"x"	6	0.23821	0.35347	0.99903	2	489	-0.07085
"DKK1"	"x"	6	0.23936	0.35485	0.99903	2	490	-0.1415
"ELK3"	"x"	5	0.23951	0.33063	0.99903	1	491	-0.0669
"IFNGR1"	"x"	6	0.24101	0.35687	0.99903	1	492	0.018
"NCF1"	"x"	5	0.24145	0.33175	0.99903	1	493	0.0913
"STK3"	"x"	6	0.24158	0.35748	0.99903	1	494	0.02975
"MARK3"	"x"	6	0.24167	0.35759	0.99903	2	495	-0.06185
"DPYSL3"	"x"	6	0.24274	0.35894	0.99903	1	496	-0.0378
"nc_chr1_3"	"n"	1	0.24327	0.2432	0.99903	0	497	-0.0888
"KAT2B"	"x"	6	0.2434	0.35973	0.99903	2	498	-0.216
"ADRM1"	"x"	6	0.24447	0.36113	0.99903	1	499	-0.10035
"SLX4"	"x"	6	0.24514	0.36194	0.99903	2	500	-0.13375
"nc_chr20_7"	"n"	1	0.24594	0.24584	0.99903	0	501	-0.517
"CCND1"	"x"	6	0.24619	0.36309	0.99903	1	502	0.352
"RUNX3"	"x"	6	0.24717	0.36428	0.99903	2	503	-0.03165
"SMAD1"	"x"	6	0.24792	0.36515	0.99903	1	504	-0.1303
"CDKN1B"	"x"	6	0.24849	0.36584	0.99903	1	505	-0.195
"BACE1"	"x"	6	0.24891	0.36624	0.99903	2	506	-0.03785
"FKBP4"	"x"	6	0.24949	0.36708	0.99903	2	507	-0.1315
"FGFR1"	"x"	6	0.24978	0.36739	0.99903	2	508	-0.329
"TOP3A"	"x"	6	0.25065	0.36846	0.99903	2	509	0.0355
"nc_chr3_11"	"n"	1	0.25091	0.25069	0.99903	0	510	-0.114
"PIK3CA"	"x"	6	0.25094	0.36878	0.99903	2	511	-0.28
"HNRNPC"	"x"	6	0.25181	0.36975	0.99903	2	512	-0.184
"YWHAQ"	"x"	6	0.2521	0.37006	0.99903	2	513	-0.222
"RPL18A"	"p"	6	0.25249	0.37053	0.99903	1	514	-0.14475
"CLDN2"	"x"	6	0.25268	0.37076	0.99903	2	515	-0.159
"nc_chr15_8"	"n"	1	0.25358	0.25333	0.99903	0	516	-0.138
"COL1A1"	"x"	6	0.25364	0.37195	0.99903	1	517	-0.057455
"HRAS"	"x"	6	0.25421	0.37267	0.99903	1	518	0.304
"HNRNPK"	"x"	6	0.25443	0.37289	0.99903	2	519	-0.2285
"CCNL1"	"x"	6	0.25472	0.3732	0.99903	2	520	-0.17075
"DAAM1"	"x"	6	0.2553	0.37384	0.99903	2	521	-0.03985
"LAT"	"x"	6	0.25534	0.37394	0.99903	1	522	-0.06595
"GSK3B"	"x"	6	0.25559	0.37425	0.99903	2	523	-0.2525
"CNTFR"	"x"	6	0.25588	0.37458	0.99903	2	524	-0.2099
"APOA1"	"x"	6	0.25591	0.3746	0.99903	1	525	0.1252
"MAP3K8"	"x"	6	0.25646	0.37526	0.99903	2	526	0.05195
"PARP1"	"x"	6	0.25648	0.37526	0.99903	1	527	0.12295
"RPS11"	"p"	6	0.25763	0.37666	0.99903	2	528	-0.02375
"REL"	"x"	6	0.25792	0.37697	0.99903	2	529	-0.1405
"PLK1"	"x"	6	0.25818	0.37731	0.99903	1	530	-0.09955
"nc_chrX_8"	"n"	1	0.25891	0.25883	0.99903	0	531	-0.0759
"NCOR2"	"x"	6	0.25909	0.37843	0.99903	2	532	-0.10275
"CUL3"	"x"	6	0.25932	0.37871	0.99903	1	533	-0.05865
"WNT1"	"x"	6	0.26025	0.37989	0.99903	2	534	-0.239
"SOCS1"	"x"	6	0.26055	0.38017	0.99903	2	535	0.0149
"RNF11"	"x"	6	0.26113	0.38085	0.99903	2	536	-0.3165
"TCF3"	"x"	6	0.26142	0.38116	0.99903	2	537	-0.1433
"FAF2"	"x"	6	0.26158	0.38134	0.99903	1	538	0.03085
"SGK1"	"x"	6	0.26171	0.38151	0.99903	2	539	-0.253
"RPS6KA2"	"x"	6	0.26288	0.38278	0.99903	2	540	-0.12355
"PAK3"	"x"	6	0.26318	0.3831	0.99903	2	541	-0.03695
"YPEL5"	"x"	5	0.26402	0.34535	0.99903	1	542	-0.122
"SIRT2"	"x"	6	0.26405	0.38427	0.99903	2	543	-0.05755
"PTGS2"	"x"	6	0.26435	0.38455	0.99903	2	544	0.05593
"PSMG1"	"x"	6	0.26496	0.38538	0.99903	1	545	0.328
"CLK2"	"x"	6	0.26609	0.38692	0.99903	1	546	-0.01865
"nc_chr17_11"	"n"	1	0.26631	0.26633	0.99903	0	547	-0.235
"SERPINF1"	"x"	6	0.26639	0.38719	0.99903	2	548	-0.09055
"MSH5"	"x"	6	0.26727	0.38825	0.99903	2	549	0.07585
"MEF2D"	"x"	5	0.26734	0.34734	0.99903	1	550	-0.0592
"HDAC7"	"x"	6	0.26786	0.38893	0.99903	2	551	-0.10135
"CTCF"	"x"	6	0.26844	0.38969	0.99903	2	552	0.07625
"MEF2C"	"x"	6	0.26874	0.39005	0.99903	2	553	0.1875
"MAT1A"	"x"	6	0.26991	0.39151	0.99903	2	554	-0.1725
"PSMD1"	"p"	6	0.2702	0.39186	0.99903	2	555	-0.07735
"ROR2"	"x"	6	0.27138	0.39313	0.99903	2	556	-0.0028
"SERBP1"	"x"	4	0.27323	0.31372	0.99903	1	557	0.08195
"INCENP"	"x"	6	0.27373	0.39611	0.99903	2	558	-0.1984
"FGFR4"	"x"	6	0.27461	0.39708	0.99903	2	559	-0.175
"nc_chr18_9"	"n"	1	0.27504	0.27482	0.99903	0	560	-0.217
"NEIL1"	"x"	6	0.27504	0.39763	0.99903	1	561	-0.06145
"FOXO4"	"x"	6	0.27559	0.39827	0.99903	1	562	-0.05705
"nc_chr4_10"	"n"	1	0.27661	0.27635	0.99903	0	563	-0.0578
"PRKDC"	"x"	6	0.27892	0.40006	0.99903	1	564	-0.0044
"nc_chr8_8"	"n"	1	0.28025	0.27977	0.99903	0	565	-0.233
"RPL34"	"p"	5	0.28094	0.35595	0.99903	1	566	-0.212
"nc_chr10_8"	"n"	1	0.28704	0.28651	0.99903	0	567	-0.122
"SNRPB2"	"x"	6	0.28774	0.40455	0.99903	1	568	-0.05155
"PDCD4"	"x"	6	0.28884	0.40508	0.99903	1	569	-0.0484
"PTPN5"	"x"	6	0.29212	0.40672	0.99903	1	570	0.1067
"USP28"	"x"	6	0.29375	0.40763	0.99903	1	571	0.0653
"CDKN1A"	"x"	6	0.2943	0.40795	0.99903	1	572	0.04136
"TFRC"	"x"	5	0.2948	0.3644	0.99903	1	573	-0.437
"SOS1"	"x"	6	0.29647	0.40912	0.99903	1	574	-0.121
"GINS2"	"x"	5	0.29663	0.36557	0.99903	1	575	-0.171
"nc_chr9_11"	"n"	1	0.2988	0.29857	0.99903	0	576	-0.155
"ERBB2"	"x"	6	0.29918	0.41041	0.99903	1	577	-0.153
"EWSR1"	"x"	6	0.30188	0.41176	0.99903	1	578	-0.0346
"CSNK2B"	"x"	6	0.30403	0.41287	0.99903	1	579	-0.17
"NFKBIB"	"x"	6	0.30457	0.41321	0.99903	1	580	0.07155
"NIPBL"	"x"	6	0.30564	0.41379	0.99903	1	581	0.01615
"PPM1B"	"x"	6	0.30618	0.41413	0.99903	1	582	-0.01005
"ZNHIT1"	"x"	5	0.30709	0.37215	0.99903	1	583	0.197
"KAT2A"	"x"	6	0.30993	0.41594	0.99903	1	584	-0.0122
"MSI1"	"x"	6	0.31046	0.4162	0.99903	1	585	0.038
"HES1"	"x"	6	0.31259	0.4173	0.99903	1	586	0.11455
"PCNA"	"x"	6	0.31313	0.41761	0.99903	1	587	0.07425
"DDX5"	"x"	6	0.31525	0.4189	0.99903	1	588	-0.07865
"HIST1H2BB"	"x"	6	0.31578	0.41904	0.99903	1	589	-0.05935
"INS"	"x"	6	0.31631	0.41934	0.99903	1	590	0.1071
"HGF"	"x"	6	0.31684	0.41968	0.99903	1	591	0.22915
"USF1"	"x"	5	0.31787	0.37919	0.99903	1	592	-0.282
"CDC25C"	"x"	6	0.31843	0.42051	0.99903	1	593	-0.07545
"BDP1"	"x"	6	0.32001	0.42137	0.99903	1	594	-0.2355
"nc_chr6_10"	"n"	1	0.32171	0.32113	0.99903	0	595	-0.0939
"NFATC2"	"x"	6	0.32212	0.42237	0.99903	1	596	0.04545
"IL2RG"	"x"	6	0.3237	0.42316	0.99903	1	597	-0.179
"TRRAP"	"x"	6	0.32475	0.42376	0.99903	1	598	-0.0139
"GAB1"	"x"	6	0.32579	0.42426	0.99903	1	599	0.135
"RIC1"	"x"	6	0.32632	0.42454	0.99903	1	600	0.03215
"nc_chr21_1"	"n"	1	0.32656	0.32598	0.99903	0	601	-0.0621
"COPS4"	"p"	6	0.32841	0.42556	0.99903	1	602	0.0393
"NDE1"	"x"	6	0.32893	0.42583	0.99903	1	603	-0.2755
"CAMKK2"	"x"	6	0.32997	0.42633	0.99903	1	604	0.1435
"NEDD8"	"x"	6	0.33101	0.42687	0.99903	1	605	-0.2265
"MMP2"	"x"	6	0.33257	0.42759	0.99903	1	606	0.031385
"nc_chr17_7"	"n"	1	0.33335	0.33281	0.99903	0	607	-0.106
"nc_chr6_4"	"n"	1	0.3336	0.33311	0.99903	0	608	-0.0744
"CAPN2"	"x"	6	0.33361	0.42811	0.99903	1	609	-0.06015
"PDE3B"	"x"	6	0.33413	0.42835	0.99903	1	610	0.0592
"SLC2A1"	"x"	6	0.33465	0.42859	0.99903	1	611	0.3275
"GATA2"	"x"	6	0.33568	0.42919	0.99903	1	612	0.0405
"STAT5A"	"x"	6	0.33827	0.43062	0.99903	1	613	-0.0464
"HMOX1"	"x"	6	0.34033	0.4317	0.99903	1	614	0.06795
"WDR1"	"x"	5	0.34077	0.39405	0.99903	1	615	0.194
"DYRK1B"	"x"	6	0.34135	0.43225	0.99903	1	616	-0.0319
"EEA1"	"x"	6	0.34187	0.43248	0.99903	1	617	0.09625
"NUDT3"	"x"	6	0.34289	0.43305	0.99903	1	618	0.351
"GNB3"	"x"	6	0.34341	0.43333	0.99903	1	619	0.12975
"nc_chr8_9"	"n"	1	0.34378	0.34411	0.99903	0	620	-0.111
"RAC2"	"x"	6	0.34392	0.43358	0.99903	1	621	-0.209
"TNF"	"x"	6	0.34494	0.43404	0.99903	1	622	-0.0395
"2018/03/05"	"x"	6	0.34698	0.43513	0.99903	1	623	-0.0308
"IL3RA"	"x"	6	0.34749	0.43548	0.99903	1	624	-0.1215
"SRF"	"x"	6	0.34851	0.43597	0.99903	1	625	0.0148
"nc_chr21_7"	"n"	1	0.34875	0.34877	0.99903	0	626	-0.21
"nc_chr6_3"	"n"	1	0.34887	0.34886	0.99903	0	627	-0.179
"NKX2-5"	"x"	6	0.34953	0.43644	0.99903	1	628	0.0816
"NUP54"	"p"	6	0.35055	0.43709	0.99903	1	629	0.0509
"nc_chr13_7"	"n"	1	0.35202	0.35214	0.99903	0	630	-0.0492
"CAMK2B"	"x"	6	0.35207	0.43798	0.99903	1	631	-0.1
"nc_chr15_7"	"n"	1	0.35384	0.35398	0.99903	0	632	-0.1
"nc_chr12_7"	"n"	1	0.35409	0.35423	0.99903	0	633	-0.0674
"ITGB5"	"x"	6	0.3546	0.4392	0.99903	1	634	0.0571
"nc_chr16_4"	"n"	1	0.35493	0.35509	0.99903	0	635	-0.129
"DKK2"	"x"	6	0.35561	0.43972	0.99903	1	636	0.429
"FRAT2"	"x"	6	0.35913	0.44181	0.99903	1	637	0.116
"PRKAG2"	"x"	6	0.36114	0.44271	0.99903	1	638	-0.09
"nc_chr19_3"	"n"	1	0.3616	0.36145	0.99903	0	639	-0.0576
"nc_chr9_5"	"n"	1	0.36342	0.36339	0.99903	0	640	-0.187
"PSMA3"	"p"	6	0.36363	0.44419	0.99903	1	641	0.20915
"HMGA2"	"x"	6	0.36413	0.44442	0.99903	1	642	0.0234
"SMC1B"	"x"	6	0.36513	0.44504	0.99903	1	643	-0.07105
"nc_chr19_10"	"n"	1	0.36524	0.36517	0.99903	0	644	-0.175
"ATXN1"	"x"	6	0.36563	0.4453	0.99903	1	645	-0.03945
"REV1"	"x"	6	0.36613	0.44563	0.99903	1	646	0.2925
"RAD1"	"x"	6	0.36712	0.44612	0.99903	1	647	-0.02045
"DAPK1"	"x"	6	0.36762	0.44643	0.99903	1	648	0.09525
"nc_chr16_10"	"n"	1	0.36876	0.36889	0.99903	0	649	-0.51
"nc_chr16_1"	"n"	1	0.369	0.36919	0.99903	0	650	-0.0889
"RB1"	"x"	6	0.3701	0.44778	0.99903	1	651	-0.11165
"RPS6"	"x"	6	0.37405	0.44992	0.99903	1	652	0.321
"OPRD1"	"x"	6	0.37699	0.45141	0.99903	1	653	-0.10755
"C3orf38"	"x"	6	0.37846	0.45225	0.99903	1	654	-0.00965
"PRDM1"	"x"	6	0.37944	0.45269	0.99903	1	655	0.1775
"HTRA2"	"x"	6	0.37993	0.45291	0.99903	1	656	0.02881
"DVL2"	"x"	6	0.38237	0.45436	0.99903	1	657	0.1395
"PTPN2"	"x"	6	0.38285	0.45461	0.99903	1	658	-0.00595
"nc_chr9_7"	"n"	1	0.38318	0.38357	0.99903	0	659	-0.0679
"SH3BP5"	"x"	6	0.38625	0.45649	0.99903	1	660	0.08845
"AKT1S1"	"x"	6	0.3877	0.45741	0.99903	1	661	-0.00669999999999821
"ANKRD49"	"x"	6	0.38964	0.45853	0.99903	1	662	0.151
"MACF1"	"x"	6	0.39012	0.45889	0.99903	1	663	0.082
"nc_chrX_4"	"n"	1	0.39094	0.39137	0.99903	0	664	-0.11
"TGFB1"	"x"	6	0.39204	0.46011	0.99903	1	665	0.06455
"nc_chr13_6"	"n"	1	0.39264	0.39313	0.99903	0	666	-0.047
"nc_chr18_8"	"n"	1	0.393	0.39348	0.99903	0	667	-0.0423
"BUD13"	"x"	6	0.39396	0.46134	0.99903	1	668	0.2117
"DKK3"	"x"	6	0.39444	0.46162	0.99903	1	669	-0.0546
"nc_chr19_4"	"n"	1	0.3947	0.39506	0.99903	0	670	-0.129
"DLX5"	"x"	6	0.39492	0.46194	0.99903	1	671	0.1663
"nc_chr10_3"	"n"	1	0.39507	0.39546	0.99903	0	672	-0.0711
"NACA"	"x"	6	0.39588	0.46243	0.99903	1	673	-0.3335
"nc_chr16_5"	"n"	1	0.39616	0.39645	0.99903	0	674	-0.0442
"EIF2B2"	"x"	6	0.39731	0.46325	0.99903	1	675	-0.03415
"CTPS2"	"x"	6	0.39779	0.46353	0.99903	1	676	0.011
"nc_chr10_11"	"n"	1	0.39798	0.39835	0.99903	0	677	-0.0363
"PSMC2"	"p"	6	0.39874	0.46418	0.99903	1	678	-0.1987
"GFAP"	"x"	6	0.39921	0.46443	0.99903	1	679	-0.08545
"PIK3R2"	"x"	5	0.40018	0.43492	0.99903	1	680	0.31
"KRT8"	"x"	6	0.40064	0.46538	0.99903	1	681	-0.142
"MCM9"	"x"	6	0.40111	0.46569	0.99903	1	682	-0.0259065
"HDAC9"	"x"	6	0.40348	0.4673	0.99903	1	683	0.1409
"nc_chr11_3"	"n"	1	0.4044	0.40429	0.99903	0	684	-0.193
"nc_chr12_8"	"n"	1	0.40707	0.40715	0.99903	0	685	-0.0667
"nc_chr4_8"	"n"	1	0.40816	0.40823	0.99903	0	686	-0.041
"CIC"	"x"	6	0.40867	0.47078	0.99903	1	687	0.2385
"RORC"	"x"	6	0.40914	0.47104	0.99903	1	688	-0.09195
"PRKCE"	"x"	6	0.41101	0.4722	0.99903	1	689	0.0019
"RAD51B"	"x"	6	0.41195	0.4727	0.99903	1	690	0.0960004165
"BCL2"	"x"	5	0.41296	0.44446	0.99903	1	691	-0.00931
"SUGT1"	"x"	5	0.41336	0.4447	0.99903	1	692	-0.1
"BCAR1"	"x"	6	0.41428	0.47415	0.99903	1	693	0.345
"HLA-G"	"x"	6	0.41521	0.47471	0.99903	1	694	0.02965
"UBC"	"x"	6	0.41614	0.47527	0.99903	1	695	-0.0845
"nc_chr2_2"	"n"	1	0.41677	0.41676	0.99903	0	696	-0.0545
"H2AFX"	"x"	6	0.41846	0.47693	0.99903	1	697	0.0943
"nc_chr17_1"	"n"	1	0.41931	0.41953	0.99903	0	698	-0.0386
"NFATC4"	"x"	6	0.41938	0.47755	0.99903	1	699	-0.20165
"HOXB8"	"x"	5	0.42005	0.44957	0.99903	1	700	-0.00608
"PRKCB"	"x"	6	0.42031	0.47809	0.99903	1	701	-0.1995
"EZH2"	"x"	5	0.42084	0.45011	0.99903	1	702	0.0426
"nc_chr10_7"	"n"	1	0.42331	0.42323	0.99903	0	703	-0.031
"SMARCAL1"	"x"	6	0.42445	0.48072	0.99903	1	704	0.07555
"nc_chr16_3"	"n"	1	0.42489	0.42482	0.99903	0	705	-0.0467
"nc_chr21_2"	"n"	1	0.42586	0.42573	0.99903	0	706	-0.0387
"NBAS"	"x"	6	0.42674	0.48202	0.99903	1	707	-0.09015
"nc_chr7_11"	"n"	1	0.4278	0.42754	0.99903	0	708	-0.0343
"PAK6"	"x"	6	0.42857	0.48304	0.99903	1	709	0.02880065
"nc_chr5_9"	"n"	1	0.42865	0.42836	0.99903	0	710	-0.0299
"ERCC4"	"x"	6	0.42994	0.4839	0.99903	1	711	-0.08385
"PTPRA"	"x"	6	0.4313	0.48469	0.99903	1	712	0.0012
"NPM1"	"x"	6	0.43176	0.48494	0.99903	1	713	-0.0825
"HIST1H1B"	"x"	6	0.43267	0.48549	0.99903	1	714	-0.0932
"BAP1"	"x"	6	0.43312	0.48575	0.99903	1	715	-0.09395
"KEAP1"	"x"	6	0.43403	0.48637	0.99903	1	716	0.1178
"HSPB1"	"x"	6	0.43493	0.48695	0.99903	1	717	-0.13025
"nc_chr10_4"	"n"	1	0.4352	0.43505	0.99903	0	718	-0.0913
